,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000214903.4,0,0,0
ENSG00000214904.5,0,0,0
ENSG00000214908.3,0,1,1
ENSG00000214914.3,2,4,4
ENSG00000214915.3,0,0,0
ENSG00000214917.3,2,4,2
ENSG00000214919.3,4,2,0
ENSG00000214922.9,20,4,31
ENSG00000214925.3,2,1,4
ENSG00000214929.4,0,0,0
ENSG00000214930.2,0,1,0
ENSG00000214940.8,0,0,0
ENSG00000214941.8,507,871,853
ENSG00000214942.6,0,2,2
ENSG00000214943.5,0,0,0
ENSG00000214944.9,361,292,682
ENSG00000214946.14,0,0,3
ENSG00000214954.8,15,90,101
ENSG00000214955.5,4,0,2
ENSG00000214960.11,58,172,122
ENSG00000214961.2,2,1,3
ENSG00000214967.5,0,1,0
ENSG00000214970.8,0,0,0
ENSG00000214973.3,12,1,2
ENSG00000214975.4,382,62,155
ENSG00000214976.2,0,0,0
ENSG00000214978.7,0,0,0
ENSG00000214980.4,0,0,0
ENSG00000214988.4,5,7,1
ENSG00000214992.6,2,0,2
ENSG00000214998.2,0,0,0
ENSG00000214999.3,0,3,0
ENSG00000215000.4,0,0,0
ENSG00000215002.2,0,5,2
ENSG00000215003.4,3,2,3
ENSG00000215004.3,1,0,0
ENSG00000215005.2,1,0,1
ENSG00000215006.4,92,6,147
ENSG00000215007.3,0,1,1
ENSG00000215009.5,33,0,7
ENSG00000215012.9,1474,2226,3297
ENSG00000215014.5,70,27,32
ENSG00000215016.2,3,2,2
ENSG00000215018.10,124,55,24
ENSG00000215021.10,10168,7038,12576
ENSG00000215022.7,14,21,16
ENSG00000215023.2,3,23,9
ENSG00000215029.11,0,0,0
ENSG00000215030.5,327,664,2490
ENSG00000215032.2,3,1,0
ENSG00000215034.4,0,0,0
ENSG00000215035.2,2,1,0
ENSG00000215037.2,0,0,0
ENSG00000215039.7,439,1134,1556
ENSG00000215041.10,524,635,309
ENSG00000215043.2,0,0,0
ENSG00000215045.8,75,82,20
ENSG00000215049.3,1,1,2
ENSG00000215054.3,0,0,0
ENSG00000215057.4,3,1,4
ENSG00000215063.3,11,1,2
ENSG00000215065.3,2,0,2
ENSG00000215067.10,59,133,138
ENSG00000215068.8,137,227,42
ENSG00000215070.4,2,0,0
ENSG00000215085.4,0,0,0
ENSG00000215086.2,6,2,6
ENSG00000215088.3,0,0,1
ENSG00000215089.3,12,76,35
ENSG00000215093.3,13,1,9
ENSG00000215094.3,0,0,0
ENSG00000215096.3,0,0,0
ENSG00000215097.3,6,7,5
ENSG00000215102.2,3,0,1
ENSG00000215105.4,424,147,171
ENSG00000215110.7,679,0,0
ENSG00000215112.6,0,0,0
ENSG00000215113.6,0,0,0
ENSG00000215114.10,1159,1582,2568
ENSG00000215115.6,0,0,0
ENSG00000215117.6,0,0,0
ENSG00000215120.2,2,0,0
ENSG00000215124.2,1,0,9
ENSG00000215126.10,78,273,372
ENSG00000215127.6,0,0,0
ENSG00000215131.11,0,0,0
ENSG00000215146.5,128,15,73
ENSG00000215148.11,0,0,0
ENSG00000215149.3,0,1,0
ENSG00000215151.4,0,2,0
ENSG00000215154.6,60,38,129
ENSG00000215156.5,1,13,1
ENSG00000215158.9,81,95,52
ENSG00000215160.3,6,28,22
ENSG00000215162.2,0,0,0
ENSG00000215165.3,0,0,0
ENSG00000215168.2,0,0,0
ENSG00000215174.2,4,0,15
ENSG00000215177.3,0,0,0
ENSG00000215179.5,0,0,0
ENSG00000215182.8,0,48,2
ENSG00000215183.5,0,0,0
ENSG00000215184.2,0,1,1
ENSG00000215186.6,2,0,0
ENSG00000215187.12,12,11,105
ENSG00000215190.9,210,239,300
ENSG00000215193.13,3338,3597,3096
ENSG00000215196.5,9,5,6
ENSG00000215197.4,0,0,0
ENSG00000215198.3,0,0,0
ENSG00000215199.3,6,3,12
ENSG00000215203.3,0,0,0
ENSG00000215206.5,0,0,0
ENSG00000215208.3,2,4,1
ENSG00000215210.3,28,17,11
ENSG00000215217.7,65,973,424
ENSG00000215218.4,540,126,2505
ENSG00000215221.2,0,0,0
ENSG00000215223.3,0,0,4
ENSG00000215227.4,0,0,0
ENSG00000215231.8,1,2,0
ENSG00000215236.3,2,3,0
ENSG00000215237.6,13,3,31
ENSG00000215241.4,19,74,11
ENSG00000215244.3,7,8,62
ENSG00000215246.5,19,8,26
ENSG00000215251.4,1042,950,2451
ENSG00000215252.11,255,457,602
ENSG00000215256.4,727,2833,1086
ENSG00000215262.8,0,0,13
ENSG00000215263.2,0,0,0
ENSG00000215264.4,1,0,0
ENSG00000215267.8,1,3,3
ENSG00000215268.3,0,0,0
ENSG00000215269.5,0,0,0
ENSG00000215270.3,8,6,9
ENSG00000215271.9,1129,2384,1964
ENSG00000215274.5,2,1,0
ENSG00000215277.8,12,25,12
ENSG00000215278.4,0,1,2
ENSG00000215283.3,6,17,7
ENSG00000215284.2,2,0,0
ENSG00000215286.3,0,0,0
ENSG00000215288.5,0,0,0
ENSG00000215296.10,1,0,0
ENSG00000215297.3,0,0,0
ENSG00000215301.11,14658,8766,13568
ENSG00000215302.8,23,5,6
ENSG00000215304.3,0,0,0
ENSG00000215305.10,1771,2645,2708
ENSG00000215310.2,0,0,0
ENSG00000215311.3,3,0,2
ENSG00000215313.3,0,4,2
ENSG00000215317.2,0,0,0
ENSG00000215319.2,0,0,0
ENSG00000215325.4,2,1,1
ENSG00000215326.3,14,4,8
ENSG00000215333.3,0,15,4
ENSG00000215339.3,0,0,0
ENSG00000215343.7,0,0,0
ENSG00000215347.4,11,0,5
ENSG00000215349.2,1,0,1
ENSG00000215351.3,0,0,1
ENSG00000215353.2,0,0,0
ENSG00000215354.9,0,0,0
ENSG00000215356.4,0,0,0
ENSG00000215357.2,0,0,0
ENSG00000215367.10,0,1,0
ENSG00000215368.5,1,0,0
ENSG00000215369.3,0,0,0
ENSG00000215371.3,0,0,0
ENSG00000215372.6,0,0,0
ENSG00000215373.4,0,0,0
ENSG00000215374.6,36,5,1
ENSG00000215375.6,824,416,316
ENSG00000215378.3,0,0,0
ENSG00000215380.2,0,0,0
ENSG00000215381.3,3,3,0
ENSG00000215386.13,221,123,318
ENSG00000215388.3,25,10,22
ENSG00000215397.4,0,0,0
ENSG00000215398.11,0,0,0
ENSG00000215399.2,9,4,3
ENSG00000215403.1,0,0,0
ENSG00000215409.4,3,0,0
ENSG00000215414.4,12,41,15
ENSG00000215417.13,15,5,31
ENSG00000215418.2,0,0,0
ENSG00000215421.9,481,418,687
ENSG00000215424.10,101,204,99
ENSG00000215440.12,197,331,339
ENSG00000215441.3,0,0,0
ENSG00000215444.2,0,0,0
ENSG00000215448.3,0,0,1
ENSG00000215450.2,2,1,3
ENSG00000215452.5,1,0,1
ENSG00000215454.6,4,0,0
ENSG00000215455.4,0,0,0
ENSG00000215456.6,1,0,0
ENSG00000215457.5,3,2,1
ENSG00000215458.8,575,119,339
ENSG00000215464.4,8,10,17
ENSG00000215467.2,1,1,7
ENSG00000215472.10,0,0,0
ENSG00000215474.8,0,0,1
ENSG00000215475.5,4,4,1
ENSG00000215477.2,0,1,0
ENSG00000215478.8,0,1,7
ENSG00000215480.4,0,0,0
ENSG00000215481.9,36,15,1
ENSG00000215482.3,2,0,2
ENSG00000215483.11,48,9,34
ENSG00000215486.5,0,0,0
ENSG00000215492.6,17,19,25
ENSG00000215493.3,32,24,15
ENSG00000215498.9,0,0,2
ENSG00000215506.5,0,0,0
ENSG00000215507.10,0,0,0
ENSG00000215512.9,0,0,0
ENSG00000215515.2,1,1,7
ENSG00000215520.3,0,0,0
ENSG00000215529.12,12,3,9
ENSG00000215533.8,20,0,0
ENSG00000215537.3,0,0,0
ENSG00000215540.10,0,0,0
ENSG00000215544.6,1,0,2
ENSG00000215545.1,0,0,0
ENSG00000215546.2,0,0,0
ENSG00000215547.1,0,0,0
ENSG00000215548.2,3,95,43
ENSG00000215553.3,1,9,1
ENSG00000215559.8,0,6,3
ENSG00000215560.2,0,0,0
ENSG00000215562.2,0,0,0
ENSG00000215567.5,0,0,0
ENSG00000215568.9,1,0,0
ENSG00000215571.5,7,3,5
ENSG00000215572.2,0,0,0
ENSG00000215580.11,0,0,0
ENSG00000215583.3,0,0,0
ENSG00000215586.2,0,0,0
ENSG00000215589.3,0,0,0
ENSG00000215595.2,14,20,37
ENSG00000215601.3,0,0,0
ENSG00000215603.4,0,0,0
ENSG00000215604.3,0,0,0
ENSG00000215606.4,0,2,0
ENSG00000215612.8,2,2,50
ENSG00000215630.6,3,9,4
ENSG00000215644.10,3,16,1
ENSG00000215692.2,1,0,0
ENSG00000215695.1,0,0,0
ENSG00000215704.10,6,0,1
ENSG00000215712.11,491,1246,1737
ENSG00000215717.7,2451,2619,4128
ENSG00000215720.4,0,0,0
ENSG00000215734.3,4,0,0
ENSG00000215760.2,1,0,0
ENSG00000215765.3,0,0,0
ENSG00000215769.8,32,56,8
ENSG00000215771.2,0,4,2
ENSG00000215784.6,7,126,19
ENSG00000215785.2,3,6,0
ENSG00000215788.11,286,446,387
ENSG00000215790.8,37,14,43
ENSG00000215795.2,20,61,26
ENSG00000215796.3,2,0,0
ENSG00000215800.2,0,0,0
ENSG00000215802.3,0,0,0
ENSG00000215805.3,0,0,0
ENSG00000215807.4,2,15,7
ENSG00000215808.4,33,1,10
ENSG00000215811.6,11,10,18
ENSG00000215812.5,0,0,2
ENSG00000215817.7,7,4,10
ENSG00000215819.3,0,0,0
ENSG00000215833.3,0,0,0
ENSG00000215834.10,0,59,37
ENSG00000215835.2,16,13,16
ENSG00000215837.7,0,0,0
ENSG00000215838.4,0,0,0
ENSG00000215840.3,15,13,13
ENSG00000215841.3,16,3,12
ENSG00000215845.11,2600,6396,8091
ENSG00000215846.6,0,0,0
ENSG00000215853.3,0,0,0
ENSG00000215859.9,20,83,43
ENSG00000215861.6,55,26,155
ENSG00000215864.6,14,0,0
ENSG00000215866.8,1,1,0
ENSG00000215867.4,0,0,1
ENSG00000215869.4,0,2,1
ENSG00000215871.2,0,0,0
ENSG00000215873.2,0,0,0
ENSG00000215874.3,1,0,0
ENSG00000215875.4,0,0,0
ENSG00000215878.3,3,0,2
ENSG00000215881.3,0,0,0
ENSG00000215883.10,203,252,429
ENSG00000215887.5,1,0,0
ENSG00000215893.3,0,0,2
ENSG00000215895.4,11,7,25
ENSG00000215899.3,3,1,3
ENSG00000215900.4,1,0,1
ENSG00000215905.4,0,0,0
ENSG00000215906.8,0,0,0
ENSG00000215908.10,1135,450,794
ENSG00000215909.3,0,0,0
ENSG00000215910.7,4,3,12
ENSG00000215912.12,14,21,28
ENSG00000215914.4,6,0,42
ENSG00000215915.10,142,171,153
ENSG00000215930.1,0,0,0
ENSG00000215938.3,0,0,0
ENSG00000215939.3,0,0,0
ENSG00000215943.1,0,0,0
ENSG00000215952.1,0,0,0
ENSG00000215957.1,0,0,0
ENSG00000215961.1,0,0,0
ENSG00000215966.1,0,0,0
ENSG00000215973.1,0,0,1
ENSG00000215991.1,0,0,0
ENSG00000216001.3,0,0,0
ENSG00000216005.1,0,0,0
ENSG00000216009.3,0,0,0
ENSG00000216031.1,0,0,0
ENSG00000216035.1,0,0,0
ENSG00000216056.1,0,0,0
ENSG00000216058.1,0,0,0
ENSG00000216060.1,0,0,0
ENSG00000216064.1,0,0,0
ENSG00000216069.1,0,0,0
ENSG00000216075.1,0,0,0
ENSG00000216077.3,0,0,0
ENSG00000216098.1,0,0,0
ENSG00000216099.3,0,0,0
ENSG00000216101.3,0,0,0
ENSG00000216135.3,1,0,0
ENSG00000216141.3,0,0,0
ENSG00000216171.1,0,0,0
ENSG00000216179.1,1,0,0
ENSG00000216191.1,0,0,0
ENSG00000216192.1,0,0,0
ENSG00000216195.3,0,0,0
ENSG00000216265.1,0,0,0
ENSG00000216285.5,7,1,6
ENSG00000216306.3,1,1,0
ENSG00000216307.2,0,0,0
ENSG00000216316.1,2,0,1
ENSG00000216324.1,0,1,0
ENSG00000216331.2,4,5,3
ENSG00000216347.1,0,0,0
ENSG00000216352.1,0,0,0
ENSG00000216359.1,0,0,0
ENSG00000216360.1,10,1,2
ENSG00000216364.1,0,1,0
ENSG00000216365.2,0,0,0
ENSG00000216368.2,2,0,2
ENSG00000216378.1,0,0,0
ENSG00000216412.4,1,2,1
ENSG00000216425.4,2,0,0
ENSG00000216436.2,0,0,0
ENSG00000216439.1,0,0,0
ENSG00000216444.1,0,0,0
ENSG00000216471.3,3,1,0
ENSG00000216475.1,0,0,0
ENSG00000216480.2,4,3,5
ENSG00000216490.4,6,10,3
ENSG00000216516.1,0,0,0
ENSG00000216518.1,0,0,0
ENSG00000216519.2,0,1,0
ENSG00000216523.1,0,0,0
ENSG00000216548.2,0,0,0
ENSG00000216560.4,0,0,0
ENSG00000216588.9,0,9,15
ENSG00000216613.2,1,0,0
ENSG00000216616.1,0,0,0
ENSG00000216621.8,1,0,14
ENSG00000216624.3,13,14,26
ENSG00000216629.1,0,0,0
ENSG00000216636.1,1,2,0
ENSG00000216639.1,0,0,0
ENSG00000216642.1,0,0,1
ENSG00000216649.3,0,0,0
ENSG00000216657.1,2,2,10
ENSG00000216663.3,0,0,0
ENSG00000216671.6,0,0,0
ENSG00000216676.2,4,4,2
ENSG00000216687.2,0,0,0
ENSG00000216708.1,0,0,0
ENSG00000216710.1,0,0,0
ENSG00000216713.1,0,0,0
ENSG00000216718.7,0,0,0
ENSG00000216721.3,2,2,5
ENSG00000216723.1,4,0,0
ENSG00000216740.2,4,3,2
ENSG00000216753.3,0,0,0
ENSG00000216754.2,0,1,0
ENSG00000216762.1,0,0,0
ENSG00000216775.3,111,273,269
ENSG00000216777.1,0,0,0
ENSG00000216781.2,0,0,0
ENSG00000216802.1,1,1,2
ENSG00000216809.1,0,1,3
ENSG00000216811.2,0,0,0
ENSG00000216813.1,0,0,0
ENSG00000216817.1,0,0,2
ENSG00000216819.1,0,1,1
ENSG00000216824.2,0,0,0
ENSG00000216829.6,0,0,0
ENSG00000216835.3,0,0,0
ENSG00000216844.1,0,0,0
ENSG00000216853.1,0,0,0
ENSG00000216854.2,0,3,1
ENSG00000216859.1,1,0,0
ENSG00000216863.10,5,1,2
ENSG00000216866.5,49,36,71
ENSG00000216867.2,0,0,2
ENSG00000216895.9,75,39,68
ENSG00000216901.1,12,0,28
ENSG00000216902.3,0,0,0
ENSG00000216904.2,0,0,0
ENSG00000216906.2,13,8,20
ENSG00000216913.2,0,0,0
ENSG00000216915.2,17,17,10
ENSG00000216917.2,1,0,0
ENSG00000216921.9,81,9,105
ENSG00000216937.13,100,79,197
ENSG00000216938.3,0,0,0
ENSG00000216966.1,1,0,2
ENSG00000216977.1,1,1,0
ENSG00000216990.2,1,0,8
ENSG00000216998.1,0,1,0
ENSG00000217004.1,1,0,0
ENSG00000217026.3,5,3,7
ENSG00000217027.1,27,16,27
ENSG00000217030.1,0,3,2
ENSG00000217041.1,0,0,0
ENSG00000217044.1,0,0,0
ENSG00000217060.1,0,0,0
ENSG00000217067.2,0,0,1
ENSG00000217078.1,3,2,4
ENSG00000217083.1,0,0,0
ENSG00000217085.2,0,0,0
ENSG00000217089.1,0,0,0
ENSG00000217094.2,15,19,18
ENSG00000217120.1,0,0,0
ENSG00000217128.12,1594,1116,1937
ENSG00000217130.1,16,22,13
ENSG00000217135.2,0,0,0
ENSG00000217139.2,1,0,0
ENSG00000217159.2,2,2,1
ENSG00000217160.2,0,0,0
ENSG00000217165.1,99,205,133
ENSG00000217169.2,0,0,0
ENSG00000217178.1,0,0,0
ENSG00000217179.1,0,0,0
ENSG00000217181.1,2,1,0
ENSG00000217195.1,1,0,0
ENSG00000217227.1,0,0,0
ENSG00000217228.1,0,0,0
ENSG00000217231.2,0,0,0
ENSG00000217236.2,5,0,1
ENSG00000217239.3,0,1,0
ENSG00000217241.1,6,3,7
ENSG00000217261.4,4,0,7
ENSG00000217268.1,0,0,0
ENSG00000217272.1,0,0,0
ENSG00000217275.2,95,48,17
ENSG00000217289.3,1,3,8
ENSG00000217314.2,0,0,0
ENSG00000217315.1,1,0,0
ENSG00000217325.2,30,51,84
ENSG00000217327.3,0,1,0
ENSG00000217330.1,0,0,0
ENSG00000217331.1,0,0,0
ENSG00000217334.1,0,0,0
ENSG00000217372.2,0,0,0
ENSG00000217377.1,0,0,0
ENSG00000217379.2,0,0,1
ENSG00000217385.1,1,0,1
ENSG00000217404.2,1,0,1
ENSG00000217408.2,0,0,0
ENSG00000217414.2,1,0,0
ENSG00000217416.4,0,2,1
ENSG00000217442.4,50,33,126
ENSG00000217447.1,0,0,0
ENSG00000217455.8,0,3,4
ENSG00000217477.2,0,0,0
ENSG00000217482.2,0,0,0
ENSG00000217483.1,0,0,0
ENSG00000217488.2,0,0,0
ENSG00000217495.2,0,0,0
ENSG00000217512.1,0,0,0
ENSG00000217514.1,1,0,0
ENSG00000217527.1,0,0,2
ENSG00000217539.2,0,0,0
ENSG00000217555.13,4,0,0
ENSG00000217557.1,0,1,0
ENSG00000217566.2,0,0,0
ENSG00000217576.7,0,0,0
ENSG00000217585.1,0,0,0
ENSG00000217612.2,0,0,0
ENSG00000217624.2,22,8,53
ENSG00000217631.1,0,0,0
ENSG00000217643.1,1,0,0
ENSG00000217644.5,4,8,6
ENSG00000217646.1,0,15,3
ENSG00000217648.1,87,144,404
ENSG00000217653.1,2,0,0
ENSG00000217680.1,0,0,0
ENSG00000217684.2,0,0,0
ENSG00000217686.2,0,0,0
ENSG00000217702.3,33,142,72
ENSG00000217707.2,0,0,0
ENSG00000217716.3,5,14,31
ENSG00000217718.1,1,0,0
ENSG00000217733.2,1,2,1
ENSG00000217746.1,0,0,0
ENSG00000217767.2,1,3,2
ENSG00000217769.4,2,0,0
ENSG00000217770.1,0,0,0
ENSG00000217776.1,0,1,0
ENSG00000217783.2,1,0,1
ENSG00000217786.1,0,0,0
ENSG00000217791.4,2,8,4
ENSG00000217801.10,117,385,987
ENSG00000217805.2,0,0,0
ENSG00000217809.1,0,0,0
ENSG00000217811.1,0,0,0
ENSG00000217824.1,0,4,2
ENSG00000217825.2,1,1,0
ENSG00000217835.3,8,7,7
ENSG00000217862.2,9,0,0
ENSG00000217874.2,0,0,0
ENSG00000217878.2,0,0,0
ENSG00000217889.3,2,7,5
ENSG00000217896.2,0,0,0
ENSG00000217897.2,1,2,1
ENSG00000217929.4,0,0,0
ENSG00000217930.8,88,158,119
ENSG00000217950.4,2,1,7
ENSG00000218014.1,18,58,71
ENSG00000218016.2,0,0,0
ENSG00000218018.3,15,102,29
ENSG00000218020.3,0,0,0
ENSG00000218027.2,0,0,2
ENSG00000218029.3,1,0,0
ENSG00000218048.2,0,0,0
ENSG00000218049.1,0,0,0
ENSG00000218052.5,63,6,18
ENSG00000218069.2,0,0,0
ENSG00000218073.1,8,2,3
ENSG00000218089.1,0,0,1
ENSG00000218107.1,0,0,0
ENSG00000218109.5,0,0,1
ENSG00000218125.1,0,0,0
ENSG00000218143.2,0,0,0
ENSG00000218153.2,0,2,7
ENSG00000218173.1,0,0,0
ENSG00000218175.2,176,106,271
ENSG00000218180.2,3,0,0
ENSG00000218186.2,0,11,1
ENSG00000218187.2,0,0,0
ENSG00000218189.4,0,1,0
ENSG00000218194.1,0,0,0
ENSG00000218198.3,0,2,0
ENSG00000218208.1,6,10,6
ENSG00000218213.1,0,0,0
ENSG00000218226.1,34,11,2
ENSG00000218227.3,0,0,0
ENSG00000218233.1,1,0,0
ENSG00000218261.1,0,0,0
ENSG00000218265.1,3,5,1
ENSG00000218274.2,0,0,0
ENSG00000218281.1,5,2,0
ENSG00000218283.2,257,122,281
ENSG00000218300.1,0,0,0
ENSG00000218305.4,0,0,0
ENSG00000218313.1,0,0,0
ENSG00000218336.9,639,366,642
ENSG00000218337.1,0,0,0
ENSG00000218347.2,2,0,0
ENSG00000218350.1,10,1,3
ENSG00000218351.2,0,0,0
ENSG00000218357.3,1,27,0
ENSG00000218358.2,5,4,34
ENSG00000218359.1,0,1,0
ENSG00000218363.1,0,0,0
ENSG00000218410.1,0,0,0
ENSG00000218416.4,49,5834,276
ENSG00000218418.2,8,4,22
ENSG00000218424.2,0,0,0
ENSG00000218426.5,195,203,391
ENSG00000218428.1,0,2,0
ENSG00000218454.2,0,0,0
ENSG00000218459.1,1,1,0
ENSG00000218472.2,2,1,0
ENSG00000218475.2,0,1,0
ENSG00000218476.2,0,0,0
ENSG00000218483.1,0,0,0
ENSG00000218490.1,0,0,0
ENSG00000218499.1,0,0,0
ENSG00000218502.3,4,2,5
ENSG00000218510.8,19,36,18
ENSG00000218512.2,0,0,0
ENSG00000218520.5,0,0,0
ENSG00000218521.1,0,0,0
ENSG00000218536.1,0,0,0
ENSG00000218537.1,18,3,0
ENSG00000218549.2,0,0,0
ENSG00000218561.1,0,0,0
ENSG00000218565.2,1,0,8
ENSG00000218574.1,2,0,0
ENSG00000218577.1,0,0,0
ENSG00000218582.2,9,23,41
ENSG00000218586.3,5,2,3
ENSG00000218596.2,0,0,0
ENSG00000218617.1,0,0,0
ENSG00000218631.1,5,4,2
ENSG00000218632.3,0,4,2
ENSG00000218643.2,0,0,0
ENSG00000218672.1,0,0,0
ENSG00000218676.1,0,1,3
ENSG00000218682.1,0,0,0
ENSG00000218689.2,0,0,0
ENSG00000218690.2,2,1,0
ENSG00000218698.1,0,0,0
ENSG00000218713.1,3,0,13
ENSG00000218716.1,0,0,0
ENSG00000218725.2,0,0,0
ENSG00000218728.3,0,0,1
ENSG00000218730.1,0,0,0
ENSG00000218732.1,0,0,0
ENSG00000218739.10,1828,1890,2580
ENSG00000218748.1,8,2,0
ENSG00000218749.1,0,0,0
ENSG00000218754.4,2,1,0
ENSG00000218757.1,0,0,0
ENSG00000218766.1,0,0,0
ENSG00000218772.2,16,0,0
ENSG00000218776.4,0,0,0
ENSG00000218792.2,1,0,1
ENSG00000218793.1,1,5,0
ENSG00000218803.1,0,0,1
ENSG00000218806.2,0,0,0
ENSG00000218809.1,1,0,0
ENSG00000218813.1,0,0,0
ENSG00000218819.6,1,1,0
ENSG00000218823.2,0,0,0
ENSG00000218834.1,0,0,0
ENSG00000218839.5,0,0,0
ENSG00000218857.1,0,0,1
ENSG00000218868.1,0,0,0
ENSG00000218870.1,0,0,0
ENSG00000218872.1,0,0,0
ENSG00000218890.1,1,1,0
ENSG00000218891.5,671,883,1254
ENSG00000218893.1,0,0,0
ENSG00000218896.1,5,2,0
ENSG00000218902.3,10,10,8
ENSG00000218965.1,2,0,0
ENSG00000218976.2,1,0,0
ENSG00000218980.2,6,2,6
ENSG00000218986.1,0,0,0
ENSG00000218991.1,0,0,0
ENSG00000218996.1,0,1,1
ENSG00000219023.1,14,13,5
ENSG00000219027.2,0,10,0
ENSG00000219039.2,1,0,0
ENSG00000219061.4,0,0,0
ENSG00000219073.8,0,0,0
ENSG00000219074.1,0,0,1
ENSG00000219085.1,4,3,0
ENSG00000219087.2,0,0,0
ENSG00000219088.1,0,3,0
ENSG00000219095.1,0,0,0
ENSG00000219102.3,4,8,26
ENSG00000219133.2,7,5,4
ENSG00000219135.1,2,8,4
ENSG00000219139.1,0,0,0
ENSG00000219146.1,2,4,4
ENSG00000219149.4,5,3,1
ENSG00000219150.2,0,0,0
ENSG00000219159.4,19,0,0
ENSG00000219163.2,1,3,4
ENSG00000219186.2,1,0,1
ENSG00000219188.1,0,0,0
ENSG00000219190.1,0,0,0
ENSG00000219200.12,28,38,20
ENSG00000219201.4,17,2,18
ENSG00000219222.1,1,0,2
ENSG00000219240.2,0,0,0
ENSG00000219249.2,2,0,0
ENSG00000219253.1,0,0,0
ENSG00000219257.2,1,1,1
ENSG00000219262.1,0,0,0
ENSG00000219273.1,0,0,0
ENSG00000219274.1,0,2,2
ENSG00000219280.1,0,0,0
ENSG00000219284.2,0,0,0
ENSG00000219294.6,1,0,0
ENSG00000219297.1,0,0,0
ENSG00000219298.1,0,0,0
ENSG00000219302.2,0,0,0
ENSG00000219314.1,0,0,0
ENSG00000219329.1,2,0,0
ENSG00000219355.2,3,6,4
ENSG00000219361.1,3,0,0
ENSG00000219368.3,0,0,0
ENSG00000219375.1,0,0,0
ENSG00000219384.1,0,0,0
ENSG00000219387.2,0,0,0
ENSG00000219391.1,0,3,1
ENSG00000219392.1,0,0,8
ENSG00000219395.2,6,22,15
ENSG00000219404.2,2,0,1
ENSG00000219409.2,0,0,0
ENSG00000219410.6,11,7,6
ENSG00000219430.2,1,1,0
ENSG00000219433.2,2,9,7
ENSG00000219435.6,0,0,0
ENSG00000219438.9,433,122,216
ENSG00000219445.2,0,0,0
ENSG00000219451.3,18,18,12
ENSG00000219453.1,0,0,0
ENSG00000219463.1,1,0,0
ENSG00000219470.1,66,53,138
ENSG00000219481.10,656,374,897
ENSG00000219487.2,2,1,1
ENSG00000219491.7,0,1,0
ENSG00000219492.4,0,0,3
ENSG00000219500.1,0,0,0
ENSG00000219507.4,110,36,181
ENSG00000219529.2,2,1,1
ENSG00000219532.2,0,0,0
ENSG00000219545.11,351,1223,545
ENSG00000219547.1,0,0,2
ENSG00000219549.1,0,0,0
ENSG00000219553.2,2,1,0
ENSG00000219559.1,0,1,0
ENSG00000219565.2,4,0,2
ENSG00000219575.1,0,0,0
ENSG00000219582.3,0,0,0
ENSG00000219592.2,0,0,0
ENSG00000219604.1,0,1,0
ENSG00000219607.4,57,23,73
ENSG00000219608.3,0,0,0
ENSG00000219619.2,0,0,0
ENSG00000219622.1,0,0,0
ENSG00000219626.9,55,197,169
ENSG00000219627.1,0,0,0
ENSG00000219642.2,10,2,8
ENSG00000219653.1,14,0,0
ENSG00000219665.8,54,66,43
ENSG00000219666.2,0,1,0
ENSG00000219669.1,0,0,0
ENSG00000219681.2,0,0,0
ENSG00000219682.4,4,4,3
ENSG00000219693.3,1,0,3
ENSG00000219699.2,0,0,0
ENSG00000219700.1,1,4,0
ENSG00000219702.1,0,0,0
ENSG00000219703.1,0,0,0
ENSG00000219712.1,0,0,0
ENSG00000219722.1,0,0,0
ENSG00000219736.1,0,0,0
ENSG00000219738.2,0,0,0
ENSG00000219747.1,20,22,21
ENSG00000219755.1,0,0,0
ENSG00000219757.1,0,0,0
ENSG00000219758.6,3,0,1
ENSG00000219770.1,0,0,2
ENSG00000219773.1,6,1,4
ENSG00000219776.2,1,0,0
ENSG00000219784.2,0,0,0
ENSG00000219790.3,1,0,1
ENSG00000219797.2,2,5,47
ENSG00000219806.1,0,0,0
ENSG00000219807.2,0,0,0
ENSG00000219814.2,1,0,0
ENSG00000219863.5,1,0,3
ENSG00000219867.1,0,0,0
ENSG00000219870.2,0,0,0
ENSG00000219881.1,0,5,0
ENSG00000219891.2,41,16,73
ENSG00000219902.1,0,1,1
ENSG00000219926.11,0,0,0
ENSG00000219928.2,23,24,97
ENSG00000219930.4,0,1,2
ENSG00000219932.6,13,7,7
ENSG00000219940.2,1,0,0
ENSG00000219941.1,0,0,0
ENSG00000219951.4,6,5,4
ENSG00000219986.2,1,3,3
ENSG00000219992.2,6,2,10
ENSG00000219993.1,1,0,1
ENSG00000220008.3,55,8,39
ENSG00000220030.1,0,0,0
ENSG00000220069.1,0,0,0
ENSG00000220076.1,0,0,0
ENSG00000220091.2,0,0,0
ENSG00000220105.2,1,0,0
ENSG00000220110.1,0,0,0
ENSG00000220113.2,0,0,0
ENSG00000220125.1,0,0,0
ENSG00000220130.1,1,1,0
ENSG00000220131.1,0,0,0
ENSG00000220132.1,0,0,0
ENSG00000220139.1,0,0,0
ENSG00000220154.2,0,1,2
ENSG00000220157.4,6,6,19
ENSG00000220161.4,1,3,4
ENSG00000220181.1,0,0,0
ENSG00000220184.2,0,0,0
ENSG00000220201.7,23,75,23
